,Date received,Consumer complaint narrative
69,2021-12-29,"Kia Finance is showing I have a {$10.00} current open balance and it's open. However they are not reporting to the three credit agencies properly on a monthly basis. They are reporting with a XXXX balance and closed. I've submitted disputes to all three credit agencies. 

I've asked for a open balance letter from Kia showing what is owed and they will not do it. I've spoken to 4 different supervisors and no one could help me. I personally went to the XXXX XXXX to explain the situation. They immedialtely called Kia Finance- they could not rectify the problem."
70,2022-03-22,"Per tracking, Its been 2-3 months. No information given. Accounts unknown. Ignored investigation. Violates 15 USC 1692efg and 1681a never authorized or given permission for accounts report. On Copy, XXXX, Attorney General and FTC"
71,2022-03-12,"in accordance with the Fair Credit Reporting act XXXX Account # XXXX, has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions XXXX XXXX XXXX  XXXX & XXXX"
73,2022-03-13,"Equifax Credit Bureau consistently reports the collection as an OPEN ACCOUNT, which is not compliant with the Fair Credit Reporting Act ( FCRA ). It is deemed as inaccurate reporting and needs to be removed from my credit report immediately. The collection has appeared as an OPEN ACCOUNT since XX/XX/XXXX. The last reporting activity on the account is XX/XX/XXXX ; however, Equifax keeps re-aging the credit history when disputed. Re-aging is a severe violation of the FCRA. It makes the account in question look more recent and causes severe damage to my credit score. 

Equifax is reporting the account as an active retail account. Please see attached documents."
74,2022-03-08,I called experian twice last week and today XX/XX/2022 and spoke with a guy that told me he cant update my personal after the guy last week was suppose to dispute this information because it was not reporting correct on my report and he told me that he couldnt dispute take off. As continued to tell him that this is reporting inaccurate on my report he kept saying he cant and wont take it off to update my information correctly.
75,2022-03-08,I contacted Experian on XX/XX/2022 to remove comments from my accounts due to a pending mortgage and the mortgage company wanted them deleted. The representative did not remove the dispute comments and also opened new disputes which caused my credit score to drop XXXX. Called back XX/XX/2022 for resolution. Also requested to have an account deleted which has reached its 7 years statute of limitations. The representative stated that the date of delinquency changed and the date of deletion has also changed. I want this situation rectified
78,2022-03-13,Debt Collection from XXXX XXXX XXXX in amount of {$130.00} does not belong to me. Result of Identity theft. Federal Trade Commission Fraud Affidavit attached to confirm. Please remove.
79,2022-03-13,"This agency has been harassing to pay a debt that has already been paid. The debt was paid in XX/XX/XXXX. They are still harassing me. I had to block their number and I am still getting letters. I told a man in XXXX, I would take care of it. I did not even remember the debt and I took care of it like I said I would. I found out today XX/XX/XXXX that they added the debt to my credit report, falsely. They are not managing their accounts correctly or trying to make me pay the debt twice so that they can make money off of me. I am literally in the process of looking for a home and they are messing with my credit score and ability for my family to buy a home."
80,2022-03-13,"I feel offended every time people add unpleasant information on my redit report. I feel I am not belong here anymore. I ce from a decent family. Now, what to do to change my image yo the XXXX. I want to take it to court. Equifax published negative report on my behalf and also they change our organization status. We used to pay a space on my own to run the organization, i had an accident I didn't receive any money to pay the rental place. I had to move the organization to my house. We have a space 2 years ago we don't any money to establish a good system to run the business. Now some how someone intent to mess up my reputation. For some reason I would like some take in consideration and fix the problem for me. I will appreciate it."
81,2022-05-28,"It all started when I tried to make a payment ofXXXX through XXXX 's automated system. There was a system error, so the automated system recommended that I make a one cent adjustment to the payment because the automated system couldn't process a payment of the same amount. Thus, the total was changed to XXXX. Bank of America took both payments from my account, so I called to dispute one of the payments. I talked to XXXX first to find out if both payments went through. Only one payment went through ( XXXX ), so I disputed the payment ending in XXXX There was even a three way conference with a XXXX rep and a B of A Soup so that there were no misunderstandings and some how B of A still managed to dispute the wrong payment. They disputed the payment ending in XXXX. Because of this mistake my XXXX account was cancelled on XX/XX/2017. Now XXXX wants more than the returned payment in order to reactivate the account in addition to the reactivation fees and prorated that will generate on the next bill. When I explained this matter to a claims rep he notated the account stating I would need help with the prorated charges and reactivation fees that would generate. I talked to another rep from the bank and she told me to fax proof of the amount XXXX needed in order to reactivate the account. I got the tangible info needed and sent a fax over to the claims specialist as instructed. I called a few days later to check the status of my claim in regards to reactivating, and he told me that b of a would not be paying me for anything but the returned payment not the result of their mistake. Right now XXXX XXXX is asking for XXXX in order to reactivate because the was a balance coming due XX/XX/XXXX of about XXXX. If this matter lingers ill be billed for the XXXX worth of equipment that I'm currently financing, I also lost monthly discounts such as free tablets and a discounted XXXX  that will become full price when the account is reactivated. I also had a grandfathered plan that was forfeited and will have to face a monthly increase of about XXXX dollars a month in order to get the features that I had before the account was cancelled. I want compensation for the entire account and the difference that I had to pay after losing my employee discount. I keep getting the run-a-round and at this point I just want a viable solution to a sticky mess that I don't believe I'm responsible for! 
Update : the account is now in collections and has been canceled ever since this incident."
83,2022-03-13,On XX/XX/XXXX i sent Equifax a certified letter inquiring about a public record listed on my credit report this letter was delivered XXXX XXXX. Equifax then responded that this account was accurate and verified by their source XXXX XXXX shocked by this information i contacted XXXX XXXX they have removed this information XXXX XXXX and sent me an update. Equifax removed this public record from my report and then added it back without sending me an update or notifying me. I then contacted Equifax XX/XX/XXXX requesting that they delete this account from my credit report due to their Method of verification being invalid because their resource is no longer valid XXXX XXXX is not reporting a public record. They then responded again saying that this account was verified by XXXX XXXX. On XX/XX/XXXX i contacted Equifax again explaining to them that their resource is invalid and to delete this inaccurate public record from my credit report this letter was delivered XX/XX/XXXX. XX/XX/XXXX they still responded again that it was verified through XXXX XXXX a company that IS NOT REPORTING THIS INFORMATION. On XX/XX/XXXX i sent a letter to Equifax to dispute this public record for being inaccurate. Also i have contacted them multiple times about accounts that are inaccurate they have not provided me with their method of verification or paperwork for those accounts.
84,2022-03-14,"Credit bureau is reporting an account from XXXX XXXX XXXX. XXXX XXXX XXXX received my personal medical information from XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX. This is a XXXX violation! I did not authorize for my medical information to be sent to a third party. Please remove this account from my credit profile immediately! This is a violation of my rights. Legal action will be pursued if this account is not removed immediately. 

I AM NOT A CREDIT REPAIR COMPANY"
85,2022-03-08,"I have placed a permanent credit card offers optout on all three credit agencies on XXXX on XXXX with refence numbers XXXX and XXXX, however on XXXX I was mailed a credit card offer with promotion checks from XXXX XXXX XXXX XXXX credit card ending in XXXX. Please look into what credit agency or if the credit card company is responsible for this error and correct with the appropriate agency to make sure I will receive no such offers in the future. Furthermore, as of XXXX I have permanently opted out once more, via phone and mail with confirmation number XXXX. Please make sure this does not happen again."
86,2022-03-17,XX/XX/2022 - I tried several times to get my credit reports from the big three credit reporting agencies on-line. I provided all the necessary information and at the end of the process was told that I need to file a form by US mail. Really? I don't understand why I have to purchase ink for my computer and envelopes and postage to do something that I should be able to do on-line. Please consider my complaint. Thank you.
88,2022-03-14,I XXXX XXXX XXXX filing this complaint on behalf of myself for false reporting misleading information. This complaint has not been filed by a third party nor was it filed in error. These items in my credit file are from unauthorized use of my social security number and card. I did not authorize these items to be taken out in my name nor do they relate to anything I did. I'm unaware of any of this. All is being investigated by the FTC.
89,2022-03-14,"In accordance with the Fair Credit Reporting Act, XXXX XXXX Account # XXXX, XXXX  XXXX XXXX XXXX Account # XXXX, XXXX XXXX XXXX Account # XXXX, XXXX. XXXX XXXX Account # XXXX, XXXX XXXX  Account # XXXX, XXXX XXXX XXXX Account XXXX XXXX, XXXX XXXX XXXX XXXXk Account XXXX XXXX, XXXX XXXX Account XXXX XXXX, XXXX XXXX XXXX XXXX Account # XXXX, XXXX Account XXXX XXXX XXXX XXXX OF XXXX Card Account # XXXX, XXXX  Account # XXXX, XXXX XXXX XXXX FXXXX Account # XXXX, has violated my rights. 

15 U.S.C 1681 section 602 A, States I have the right to privacy. 

15 U.S.C 1681 section 604 A Section 2 : it also states a consumer reporting agency can not furnish a account without my written instructions."
90,2022-03-13,"I am requesting for incorrect information to be removed & blocked from my credit report. FCRA XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX for XXXX XXXX XXXX XXXX Case XXXX XXXX XXXX XX/XX/1997, Filed ( XXXX XXXX. XXXX )"
91,2022-03-14,"XXXX, XXXX XXXX EQUIFAX ARE REPORTING FRAUDULENT ACCOUNTS ON MY CREDIT REPORT. BELOW ARE THE LIST OF FRAUDULENT ACCOUNTS : XXXX XXXXXXXX XXXX XXXXXXXX : XXXX -- -> : {$16000.00}"
92,2022-02-17,"Distributions from XXXX to my XXXX at Suntrust going through transition to TRUIST, are inaccurate and do not agree with 1099r forms submitted by XXXX. Also, Suntrust merged my checking and XXXX account without my permission. They supposedly do not have records from XXXX to XXXX but I have records. 

Some of the checking disbursements can not be verified. 

Customer service does not exist. Even if someone answers a phone which is rare, they provide no assistance. There are many XXXX  complaints about the bank from BBT and Suntrust customers who merged with TRUIST. When they complete the transition by XX/XX/XXXX, the former records will not be available and it would be a travestry. 

We need assistance."
95,2022-03-14,"On Date XX/XX/2022 I sent dispute letters to each bureau for investigations into inaccuracies on my consumer report. I am writing to the Consumer Financial Protection Bureau seeking help in matters regarding my consumer report. I have sent letters to XXXX, XXXX and Equifax in reference to this false information several times and have not received a response. I have included in my letters to the bureaus that I have concerns and that they are in violation under 15 US code 1681 and 15 US code 1681 ( b ) ( FCRA ). 

I am aware that they each have 30 days to investigate my disputes and report their findings back to me. At this point I am feeling ignored and taken advantage of. In your definitions XXXX regulation ( V ), you clearly state what accuracy ( a ) and integrity ( d ) are. I know that there is a need to insure that consumer reporting agencies exercise their grave responsibilities with fairness, impartiality, and a respect for the consumers right to privacy. My right to privacy has been violated."
